ga_session_id,session_duration_sec,product_views,add_to_cart,add_payment,total_engagement_ms,country,session_number,purchased,device_type_mobile,device_type_tablet,region_Asia,region_Europe,region_Latin America,region_Middle East,region_North America,region_Oceania,region_Other,cluster
775473870,0.0,0,0,0,0.0,India,2,0,True,False,True,False,False,False,False,False,False,0
775503542,7.467541,0,0,0,7453.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
775519670,186.36,1,0,0,66113.0,South Africa,1,0,True,False,False,False,False,False,False,False,False,2
775895758,186.36,0,0,0,66113.0,Vietnam,1,0,False,False,True,False,False,False,False,False,False,2
776211072,15.729121,2,0,0,6928.0,India,1,0,True,False,True,False,False,False,False,False,False,0
776249524,3.52751,0,0,0,3514.0,India,2,0,False,False,True,False,False,False,False,False,False,0
776808012,5.966166,1,0,0,64.0,Hong Kong,3,0,False,True,True,False,False,False,False,False,False,0
777299773,81.698187,0,0,0,66113.0,Canada,1,0,False,False,False,False,False,False,True,False,False,2
777558448,11.647567,0,0,0,7724.0,United States,3,0,False,False,False,False,False,False,True,False,False,0
778130869,3.013309,0,0,0,3003.0,(not set),1,0,True,False,False,False,False,False,False,False,True,0
778167866,186.36,1,0,0,12383.0,United States,4,0,True,False,False,False,False,False,True,False,False,2
778346771,42.377573,0,0,0,23894.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
778513587,5.114691,0,0,0,3.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
778674138,5.695175,0,0,0,848.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
779444142,4.612714,0,0,0,4609.0,Brazil,1,0,False,False,False,False,True,False,False,False,False,0
779510550,180.68172,2,0,0,66113.0,United States,1,0,False,True,False,False,False,False,True,False,False,2
781560343,6.695343,0,0,0,6833.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
782070780,19.351368,0,0,0,19340.0,China,1,0,True,False,True,False,False,False,False,False,False,0
783136004,0.0,0,0,0,0.0,India,1,0,False,False,True,False,False,False,False,False,False,0
783328828,21.335595,0,0,0,19745.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
783623203,12.83037,0,0,0,12869.0,Canada,2,0,True,False,False,False,False,False,True,False,False,0
783788768,186.36,0,0,0,21733.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
784390393,0.0,0,0,0,0.0,India,1,0,False,False,True,False,False,False,False,False,False,0
784627942,33.760502,0,0,0,5823.0,Canada,1,0,True,False,False,False,False,False,True,False,False,0
784918312,21.023951,0,0,0,21278.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
785154648,108.30805,0,0,0,55350.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
785252648,12.475469,0,0,0,12441.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
785610802,5.126468,0,0,0,5122.0,Netherlands,1,0,False,False,False,True,False,False,False,False,False,0
785754335,5.202494,0,0,0,0.0,Italy,1,0,True,False,False,True,False,False,False,False,False,0
786360894,61.370222,0,0,0,16905.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
786536726,20.736553,0,0,0,20878.0,United States,1,0,False,True,False,False,False,False,True,False,False,0
787228268,0.0,0,0,0,0.0,United States,2,0,False,False,False,False,False,False,True,False,False,0
787400984,186.36,3,1,0,66113.0,Pakistan,1,0,True,False,True,False,False,False,False,False,False,2
787442986,36.21096,0,0,0,23834.0,Netherlands,2,0,False,False,False,True,False,False,False,False,False,0
787560434,6.811903,0,0,0,3034.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
787953443,5.876522,0,0,0,5821.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
788026046,9.591937,0,0,0,3501.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
788248610,0.0,0,0,0,0.0,Germany,1,0,False,False,False,True,False,False,False,False,False,0
788695591,186.36,2,0,0,66113.0,United States,4,0,False,False,False,False,False,False,True,False,False,2
788697179,8.914314,0,0,0,7181.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
789455277,186.36,11,4,0,66113.0,United States,2,0,False,False,False,False,False,False,True,False,False,2
789728495,0.0,0,0,0,0.0,United States,4,0,False,False,False,False,False,False,True,False,False,0
789835997,58.131369,0,0,0,2744.0,Ecuador,1,0,False,False,False,False,False,False,False,False,True,0
790206983,7.745558,0,0,0,7769.0,Japan,1,0,True,False,True,False,False,False,False,False,False,0
790339078,0.571124,0,0,0,13.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
790797335,2.792004,0,0,0,2767.0,Canada,1,0,True,False,False,False,False,False,True,False,False,0
790963673,0.0,0,0,0,0.0,Singapore,2,0,True,False,True,False,False,False,False,False,False,0
791283758,89.484898,1,1,0,27533.0,Vietnam,1,0,True,False,True,False,False,False,False,False,False,2
791408106,186.36,14,0,0,66113.0,United States,3,0,False,False,False,False,False,False,True,False,False,2
791966499,4.664379,0,0,0,4603.0,United States,5,0,False,False,False,False,False,False,True,False,False,0
792324958,12.10233,0,0,0,6965.0,India,1,0,True,False,True,False,False,False,False,False,False,0
792411830,0.5422,1,0,0,36.0,France,1,0,True,False,False,True,False,False,False,False,False,0
792826289,186.36,8,0,0,66113.0,United States,2,0,False,False,False,False,False,False,True,False,False,2
793291483,10.233306,0,0,0,5109.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
794018674,12.693272,0,0,0,12697.0,India,2,0,True,False,True,False,False,False,False,False,False,0
794876313,0.486567,0,0,0,48.0,Singapore,1,0,False,False,True,False,False,False,False,False,False,0
795656919,3.148466,0,0,0,1493.0,United States,2,0,False,False,False,False,False,False,True,False,False,0
796382964,186.36,0,0,0,66113.0,Canada,1,0,True,False,False,False,False,False,True,False,False,2
797997886,58.231756,0,0,0,34730.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
798734009,18.344536,0,0,0,6478.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
799468805,186.36,0,0,0,15526.0,United States,5,0,False,False,False,False,False,False,True,False,False,2
800455233,165.671222,0,0,0,66113.0,Switzerland,1,0,False,False,False,True,False,False,False,False,False,2
801307697,7.358163,0,0,0,0.0,United States,2,0,False,False,False,False,False,False,True,False,False,0
801920793,5.170017,0,0,0,0.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
802104881,186.36,3,1,0,66113.0,Iraq,1,0,False,False,False,False,False,True,False,False,False,2
802275215,1.443097,0,0,0,1568.0,Norway,1,0,False,False,False,True,False,False,False,False,False,0
802677651,2.991517,0,0,0,3036.0,Sweden,1,0,True,False,False,True,False,False,False,False,False,0
802702133,5.508412,0,0,0,5504.0,India,1,0,False,False,True,False,False,False,False,False,False,0
802921379,8.309804,0,0,0,8304.0,Canada,1,0,True,False,False,False,False,False,True,False,False,0
802966297,14.146741,0,0,0,14016.0,United States,1,0,False,True,False,False,False,False,True,False,False,0
803347883,186.36,4,2,0,66113.0,South Korea,1,0,True,False,True,False,False,False,False,False,False,2
803417848,186.36,3,2,0,66113.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
803582950,78.013232,0,0,0,57425.0,India,1,0,False,False,True,False,False,False,False,False,False,2
803870935,5.013426,0,0,0,5093.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
